epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8132,1.56346,4.08274,1.44574,0.00416,1,0.3482,0.17635,1.5221,4.14848,1.10125,0.0001875,0.0001875,0.0001875
2,25.507,1.19575,3.18712,1.21568,0.00396,1,0.32444,0.15264,1.50184,4.06536,1.20201,0.000384943,0.000384943,0.000384943
3,32.691,1.2446,2.96999,1.1754,0.00344,1,0.43515,0.31161,0.92942,3.65187,0.96731,0.000579745,0.000579745,0.000579745
4,39.8655,1.18747,2.85353,1.14899,0.60184,0.3253,0.42963,0.24073,1.50759,3.42664,1.14211,0.000771908,0.000771908,0.000771908
5,46.9342,1.16066,2.64899,1.13549,0.39107,0.77253,0.52509,0.35176,1.11615,3.04963,0.95533,0.00096143,0.00096143,0.00096143
6,53.9647,1.13651,2.50476,1.1296,0.39715,0.77689,0.57034,0.33261,1.4855,2.85435,1.12486,0.00114831,0.00114831,0.00114831
7,60.9373,1.21267,2.47087,1.18908,0.56245,0.6625,0.6925,0.40355,1.41469,2.65316,1.11928,0.0012005,0.0012005,0.0012005
8,68.175,1.10434,2.23919,1.08696,0.70717,0.577,0.68987,0.40745,1.46623,8.05586,1.20807,0.00119225,0.00119225,0.00119225
9,75.3585,1.12995,2.01358,1.09766,0.40777,0.79796,0.68629,0.39701,1.4736,11.4039,1.30851,0.001184,0.001184,0.001184
10,82.4839,1.16366,2.1234,1.1004,0.57255,0.87108,0.77083,0.49588,1.18283,4.43956,1.00572,0.00117575,0.00117575,0.00117575
11,89.608,1.16223,1.93315,1.118,0.71404,0.83108,0.86544,0.50482,1.45346,2.4895,1.05624,0.0011675,0.0011675,0.0011675
12,96.9953,1.17843,1.89808,1.15954,0.54281,0.69039,0.6173,0.36838,1.42602,3.85649,1.18744,0.00115925,0.00115925,0.00115925
13,104.371,1.08512,1.86005,1.0836,0.55858,0.66518,0.76705,0.47324,1.17222,2.51236,1.05172,0.001151,0.001151,0.001151
14,111.505,1.26636,1.80242,1.12388,0.63938,0.677,0.80038,0.46494,1.58593,2.05011,1.16193,0.00114275,0.00114275,0.00114275
15,118.679,1.17344,1.67635,1.10075,0.79364,0.79975,0.91062,0.59963,1.15992,1.90424,0.97056,0.0011345,0.0011345,0.0011345
16,125.942,1.11873,1.62414,1.08241,0.84924,0.9107,0.9825,0.55898,1.46456,1.77993,1.06267,0.00112625,0.00112625,0.00112625
17,134.238,1.07578,1.57108,1.05468,0.86764,0.9894,0.9825,0.59794,1.29704,1.58004,1.04186,0.001118,0.001118,0.001118
18,142.217,1.08254,1.47315,1.03508,0.83881,0.97099,0.96104,0.6322,1.20104,1.53435,1.00306,0.00110975,0.00110975,0.00110975
19,150.097,1.13131,1.46016,1.07561,0.92591,0.85081,0.9795,0.62172,1.3094,1.41584,0.98666,0.0011015,0.0011015,0.0011015
20,158.27,1.04464,1.41148,1.03999,0.96571,0.93676,0.99062,0.67268,1.05898,1.25361,0.94036,0.00109325,0.00109325,0.00109325
21,166.362,1.07256,1.3893,1.05895,0.72806,0.94148,0.89321,0.61872,1.03622,1.32371,0.91577,0.001085,0.001085,0.001085
22,174.195,1.12443,1.31363,1.07081,0.91434,1,0.995,0.58774,1.43281,1.19373,1.00151,0.00107675,0.00107675,0.00107675
23,181.685,1.11123,1.35929,1.095,0.93822,0.9838,0.995,0.7077,1.05386,1.10623,0.93213,0.0010685,0.0010685,0.0010685
24,189.113,1.08464,1.29263,1.0646,0.9681,1,0.995,0.59014,1.37053,1.16645,1.00004,0.00106025,0.00106025,0.00106025
25,196.55,1.00031,1.24286,1.06538,0.92916,0.95084,0.97885,0.64796,1.25183,1.21656,0.98895,0.001052,0.001052,0.001052
26,203.974,1.00581,1.13966,1.01491,0.96475,0.8788,0.97441,0.62249,1.24378,1.27643,1.02474,0.00104375,0.00104375,0.00104375
27,211.494,1.07574,1.27962,1.05091,0.8297,0.79286,0.92901,0.65671,1.11203,1.41555,0.9526,0.0010355,0.0010355,0.0010355
28,219.015,0.9734,1.18799,1.01433,0.97303,1,0.995,0.67798,1.20767,1.02798,0.94825,0.00102725,0.00102725,0.00102725
29,226.617,1.01319,1.17136,1.02056,0.95459,0.99852,0.995,0.75244,0.90785,0.92883,0.89083,0.001019,0.001019,0.001019
30,234.054,1.04937,1.18141,1.06513,0.91005,0.90739,0.995,0.64285,1.21344,1.12307,0.94346,0.00101075,0.00101075,0.00101075
31,241.473,1.0429,1.14035,1.05459,0.8091,0.90841,0.9825,0.65877,1.20322,1.30408,1.02789,0.0010025,0.0010025,0.0010025
32,248.933,0.99483,1.12113,1.00282,0.90785,1,0.98188,0.66554,1.07236,1.10256,0.91686,0.00099425,0.00099425,0.00099425
33,256.396,1.09635,1.14451,1.05434,0.95106,1,0.995,0.74289,0.97921,0.94798,0.90072,0.000986,0.000986,0.000986
34,263.931,0.98699,1.0257,1.0374,0.95456,1,0.995,0.63775,1.25855,0.95732,0.948,0.00097775,0.00097775,0.00097775
35,271.65,1.02256,0.9817,1.03191,0.96457,0.99111,0.995,0.75481,0.93382,0.89463,0.89524,0.0009695,0.0009695,0.0009695
36,279.201,0.9914,1.01999,1.02815,0.95005,1,0.995,0.73083,1.01263,0.85045,0.90322,0.00096125,0.00096125,0.00096125
37,286.675,0.98333,1.00632,1.00067,0.93763,0.93925,0.995,0.68532,1.10827,0.9062,0.90872,0.000953,0.000953,0.000953
38,294.054,0.94006,0.9827,1.00616,0.92433,0.98251,0.995,0.78061,0.8908,0.90311,0.90774,0.00094475,0.00094475,0.00094475
39,301.612,0.96691,0.97189,1.01361,0.83928,0.99098,0.995,0.74545,0.93838,0.91932,0.87968,0.0009365,0.0009365,0.0009365
40,309.23,0.95627,0.96623,0.99968,0.95555,1,0.995,0.68554,1.11951,0.78593,0.92057,0.00092825,0.00092825,0.00092825
41,316.666,0.93626,0.95755,1.01912,0.96071,0.97736,0.995,0.65968,1.21297,0.7991,0.95549,0.00092,0.00092,0.00092
42,324.085,1.02503,0.9503,1.04811,0.92057,1,0.995,0.68502,1.15391,0.80558,0.94015,0.00091175,0.00091175,0.00091175
43,331.452,0.99648,0.90821,1.02269,0.92313,0.88732,0.995,0.68251,1.09565,0.85633,0.9314,0.0009035,0.0009035,0.0009035
44,338.892,0.94512,0.89113,0.99217,0.96645,0.90237,0.995,0.70767,1.01803,0.8596,0.92303,0.00089525,0.00089525,0.00089525
45,346.362,0.99253,0.9431,1.03969,0.80989,0.84576,0.96563,0.71224,0.93287,1.05774,0.91269,0.000887,0.000887,0.000887
46,353.85,0.94384,0.90938,1.0119,0.91086,0.96632,0.995,0.603,1.41704,0.88355,1.03306,0.00087875,0.00087875,0.00087875
47,361.709,0.97695,0.88043,1.00708,0.91521,1,0.995,0.72391,0.99731,0.77494,0.91376,0.0008705,0.0008705,0.0008705
